상품명,상품설명,중량,생산자명,면세여부,상태
오렌지주스,,175g,,N,상온
모둠어묵,,480g,,N,냉동
고구마치즈롤까스,,1kg,,N,냉동
홍차맛버블티파우더,,1kg,,N,상온
코코넛버블티파우더,,1kg,,N,상온
매실청,,1.5kg,,N,상온
석류아이스티,,1kg,,N,상온
적체리,,380g,,N,상온
즉석블랙펄,,500g,,N,냉동
마가린,,3.79kg,,N,상온
마늘간장소스,,5kg,,N,상온
우리돼지순살바베큐,,1kg,,N,냉장
딸기원액,,992g,,N,냉동
감귤오렌지주스,,100g,,N,상온
바닐라프로스트글라쎄파우더,,1.36kg,,N,상온
식빵,,700g,,N,상온
우리돼지순살바베큐,,1kg,,N,냉장
토닉워터,,300g,,N,상온
밀크티파우더,,500g,,N,상온
곡물라떼파우더,,800g,,N,상온
타피오카볼,,1kg,,N,냉동
사양벌꿀,,600g,,Y,상온
떠먹는요구르트,,90g,,N,냉장
미트볼,,1kg,,N,냉동
빵가루,,2kg,,N,냉동
바질,,150g,,N,상온
요거트파우더,,1kg,,N,상온
탕수육,,1kg,,N,냉동
떠먹는요구르트,,400g,,N,냉장
떠먹는요구르트,,400g,,N,냉장
196일석류주스,,1.57kg,,N,상온
오렌지주스,,1.57kg,,N,상온
사과음료,,230g,,N,상온
오렌지주스,,130g,,N,상온
포도주스,,130g,,N,상온
토마토주스,,3.72kg,,N,상온
석류주스,,3.72kg,,N,상온
알로에주스,,3.72kg,,N,상온
오렌지주스,,3.72kg,,N,상온
포도주스,,3.72kg,,N,상온
아침햇살,,3.72kg,,N,상온
고칼슘오렌지주스,,180g,,N,상온
장인다시,,2kg,,N,상온
건더기스프,,1kg,,N,상온
휘핑크림,,340g,,N,냉동
고기순대,,1kg,,N,냉장
유기농주스,,125g,,N,상온
유기농주스,,125g,,N,상온
유기농주스,,125g,,N,상온
오렌지주스,,90g,,N,냉장
헛개수,,1.5kg,,N,상온
골뱅이무침소스,,1kg,,N,냉장
순두부양념장,,1kg,,N,냉장
단호박차,,1kg,,N,상온
자몽원액,,860g,,N,상온
옛날과자,,5kg,,N,상온
팝콘옥수수,,700g,,Y,상온
호밀가루,,1kg,,N,냉장
새우분말,,1kg,,Y,상온
쿠키세트,,650g,,N,상온
탄산수,,750g,,N,상온
짜먹는요구르트,,240g,,N,냉장
떠먹는요구르트,,85g,,N,냉장
떠먹는요구르트,,85g,,N,냉장
녹차라떼파우더,,500g,,N,상온
생땅콩,,200g,,N,냉장
카레,,1kg,,N,상온
펜넬씨드,,350g,,N,상온
에스500,,500g,,N,상온
휘핑크림에어졸,,1.275kg,,N,냉장
결명자차,,160g,,N,상온
화이트버튼초콜릿,,2.5kg,,N,상온
하몽,,100g,,Y,냉장
허브프로방스,,230g,,N,상온
오렌지에이드농축액,,1kg,,N,냉장
자몽에이드농축액,,1kg,,N,냉장
라임에이드농축액,,1kg,,N,냉장
한입떡갈비,,1kg,,N,냉동
이천쌀로만든식혜,,1kg,,N,냉장
오렌지주스,,8.4kg,,N,상온
소시지,,560g,,N,냉장
밀가루,,10kg,,Y,상온
작은공기밥,,390g,,N,상온
탄산수,,12kg,,N,상온
탕수육,,1kg,,N,냉동
소시지,,980g,,N,냉장
봉평메밀가루,,900g,,N,상온
마가린,,1.27kg,,N,냉장
파인애플주스,,1kg,,N,상온
치자열매,,500g,,Y,상온
스모크햄,,1kg,,N,냉장
후랑크소시지,,1kg,,N,냉장
우유,,250g,,N,냉장
우유,,250g,,N,냉장
우유,,250g,,N,냉장
우유,,250g,,N,냉장
쌀떡볶이떡,,1.4kg,,N,냉장
녹차파우더,,500g,,N,상온
포도주스,,2.856kg,,N,상온
탄산수,,1.5kg,,N,상온
밀크티,,7.2kg,,N,상온
사이다,,7.35kg,,N,상온
사이다,,10kg,,N,상온
사이다,,1.5kg,,N,상온
생수,,330g,,N,상온
프레시오이피클,,3kg,,N,상온
초콜릿맛음료,,175g,,N,상온
그릴후랑크소시지,,300g,,N,냉장
카페시럽,,1.5kg,,N,상온
오렌지주스,,2.856kg,,N,상온
멜론맛버블티파우더,,1kg,,N,상온
청포도에이드농축액,,1.2kg,,N,상온
두유,,190g,,N,상온
음료베이스,,1kg,,N,상온
카레,,1kg,,N,상온
라임주스,,1kg,,N,상온
오렌지주스,,250g,,N,냉동
오렌지주스,,220g,,N,냉장
사과주스,,220g,,N,냉장
자몽주스,,220g,,N,냉장
초리조소시지,,250g,,N,냉장
피쉬볼,,1kg,,N,냉동
멘치까스,,400g,,N,냉동
연두부튀김,,600g,,N,냉동
청포도에이드농축액,,1kg,,N,냉장
돈까스소스,,1.8kg,,N,상온
피스타치오,,100g,,Y,상온
유기농주스,,70g,,N,상온
유기농주스,,70g,,N,상온
유기농주스,,200g,,N,상온
유기농주스,,200g,,N,상온
유기농주스,,200g,,N,상온
유기농주스,,200g,,N,상온
탄산음료,,355g,,N,상온
후랑크핫소스,,3.78kg,,N,상온
탄산음료,,355g,,N,상온
냉동키위,,1kg,,N,냉동
구슬사이다,,200g,,N,상온
탄산수,,250g,,N,상온
고구마크러스트,,1kg,,N,냉장
블루베리,,1kg,,N,상온
토마토주스,,1.5kg,,N,상온
봉지라면,,700g,,N,상온
블루베리베이스,,1kg,,N,상온
딸기베이스,,1kg,,N,상온
망고베이스,,1kg,,N,상온
후랑크소시지,,500g,,N,냉장
베이킹소다,,6.12kg,,N,상온
큐민시드,,400g,,N,상온
젤라틴분말,,450g,,N,상온
흰우유,,900g,,Y,냉장
얼음,,3kg,,N,냉동
타피오카펄,,400g,,N,상온
고구마스틱,,2kg,,N,냉동
옐로우머스타드,,2.98kg,,N,상온
모짜렐라치즈,,500g,,N,냉장
치즈,,1kg,,N,상온
머쉬룸스프,,1.81kg,,N,냉동
청포도초S농축액,,2kg,,N,상온
사과주스,,185g,,N,상온
오렌지주스,,185g,,N,상온
포도주스,,185g,,N,상온
오렌지주스,,200g,,N,상온
사과주스,,200g,,N,상온
자몽주스,,200g,,N,상온
카페초콜릿파우더,,1kg,,N,상온
모카파우더,,1kg,,N,상온
자바칩파우더,,1kg,,N,상온
탄산음료,,330g,,N,상온
탄산음료,,355g,,N,상온
아이스티,,473g,,N,상온
탄산수,,355g,,N,상온
원두커피,,1kg,,N,상온
콜라,,250g,,N,상온
카모마일티,,50g,,N,상온
탕수육,,1kg,,N,냉동
고구마치즈돈까스,,1.38kg,,N,냉동
요구르트,,140g,,N,냉장
카레후레이크,,1kg,,N,상온
인스턴트원두커피,,112g,,N,상온
인스턴트원두커피,,112g,,N,상온
미소라멘스프,,1kg,,N,상온
요거트파우더,,1kg,,N,상온
허니고구마페이스트,,1kg,,N,상온
버블티파우더,,1kg,,N,상온
버블티파우더,,1kg,,N,상온
스노우허니버터분말,,500g,,N,상온
칠리시즈닝,,450g,,N,상온
팥춘권,,900g,,N,냉동
오렌지주스,,200g,,N,냉장
배주스,,1.5kg,,N,상온
마카로니형뻥튀기,,1.5kg,,N,상온
마카로니형뻥튀기,,3kg,,N,상온
햄,,1kg,,N,상온
아기보리차,,160g,,N,상온
망고원액,,850g,,N,상온
딸기원액,,850g,,N,상온
타코시즈닝,,35g,,N,상온
떠먹는요구르트,,85g,,N,냉장
뱅쇼베이스,,1kg,,N,상온
코코넛파우더,,800g,,N,상온
머스타드파우더,,450g,,N,상온
삼각군만두,,2kg,,N,냉동
아카시아꿀,,1.2kg,,Y,상온
자바카레,,1kg,,N,상온
돈부리노타레,,2.26kg,,N,상온
하이라이스,,160g,,N,상온
사이다,,250g,,N,상온
콜라,,1.5kg,,N,상온
사이다,,1.5kg,,N,상온
치아바타,,480g,,N,냉동
냉동고구마,,1kg,,N,냉동
냉동고구마페이스트,,2.5kg,,N,냉동
밀크초콜릿,,2.5kg,,N,상온
숙주나물,,4kg,,Y,냉장
밀가루,,2.5kg,,Y,상온
시즈닝,,1kg,,N,상온
가쯔오쯔유,,1.8kg,,N,상온
찰김말이튀김,,2kg,,N,냉동
탄산음료,,200g,,N,상온
건강가득야채가득주스,,145g,,N,상온
동글비엔나소시지,,1kg,,N,냉장
자몽베이스,,1.8kg,,N,상온
밀라노에스프레소,,200g,,N,냉장
카레,,1kg,,N,상온
두유,,190g,,N,상온
두유,,190g,,N,상온
두유,,190g,,N,상온
인스턴트원두커피,,140g,,N,상온
인스턴트원두커피,,140g,,N,상온
그린티아이스티,,500g,,N,상온
틸지터치즈,,140g,,N,냉장
떡산적,,1.5kg,,N,냉동
동태시금치전,,1kg,,N,냉동
오징어부추전,,1kg,,N,냉동
청주,,700g,,N,상온
오징어김치전,,1kg,,N,냉동
애플주스,,175g,,N,상온
코다와리이자카야세트,,290g,,N,냉동
빅머쉬멜로우,,100g,,N,상온
홍차파우더,,500g,,N,상온
치즈마스카포네파우더,,800g,,N,상온
가마보꼬,,1kg,,N,냉동
탄산수,,190g,,N,상온
김치전,,1kg,,N,냉동
부추전,,1kg,,N,냉동
해물파전,,1kg,,N,냉동
노란호박전,,1kg,,N,냉동
그린티아이스티,,680g,,N,상온
깔라만시베이스,,1.2kg,,N,상온
우스타소스,,300g,,N,상온
맘스마일코코아,,300g,,N,상온
바삭한마늘바게트,,1.62kg,,N,상온
헤이즐넛오일,,500g,,N,상온
닭다리형과자,,500g,,N,상온
과일젤리,,210g,,N,냉장
과일젤리,,90g,,N,냉장
페퍼민트티,,30g,,N,상온
카모마일티,,30g,,N,상온
얼그레이티,,40g,,N,상온
두유B,,950g,,N,상온
아이스크림믹스,,1kg,,N,냉장
아메리카노,,200g,,N,상온
황호박전,,1kg,,N,냉동
단호박옥수수전,,1kg,,N,냉동
원두커피,,500g,,N,상온
원두커피,,500g,,N,상온
이탈리안드레싱,,444g,,N,상온
구아카몰,,907g,,N,냉동
오렌지주스,,250g,,N,냉장
포도주스,,250g,,N,냉장
커피베이스,,440g,,N,냉장
베이컨감자전,,1kg,,N,냉동
홍자몽농축액,,2kg,,N,상온
소시지,,800g,,N,냉장
소시지,,800g,,N,상온
요구르트,,100g,,N,냉장
청포도농축액,,2kg,,N,상온
단무지,,2.5kg,,N,상온
대구전통납작만두,,600g,,N,냉동
초콜릿파우더,,1kg,,N,상온
골든사과주스,,230g,,N,냉장
요크셔골드티,,250g,,N,상온
무화과,,2kg,,Y,상온
통치즈돈까스,,1.44kg,,N,냉동
화이트복숭아퓨레,,1kg,,N,냉동
코코넛퓨레,,1kg,,N,냉동
망고푸딩,,708g,,N,상온
사이다,,275g,,N,상온
사이다,,275g,,N,상온
사이다,,275g,,N,상온
사이다,,275g,,N,상온
우유소스튀김,,1kg,,N,냉동
홍차베이스,,1kg,,N,상온
박력쌀가루,,3kg,,Y,상온
제빵개량제,,500g,,N,상온
믹스넛,,1kg,,N,상온
원두커피,,1kg,,N,상온
고르곤졸라피자,,300g,,N,냉동
고구마라떼파우더,,870g,,N,상온
오렌지주스,,1kg,,N,냉동
마늘분말,,460g,,Y,상온
양파분말,,460g,,Y,상온
스모크향분,,400g,,N,상온
컵반,,247g,,N,상온
컵반,,280g,,N,상온
컵반,,280g,,N,상온
컵반,,270g,,N,상온
컵반,,229g,,N,상온
컵반,,280g,,N,상온
컵반,,270g,,N,상온
컵반,,166g,,N,상온
컵반,,173g,,N,상온
컵반,,167g,,N,상온
건살구,,500g,,Y,상온
떠먹는요구르트,,90g,,N,냉장
즉석밥,,210g,,N,상온
즉석밥,,200g,,N,상온
리코타치즈,,200g,,N,냉장
고추맛콘,,600g,,N,상온
도톰동그랑땡,,1kg,,N,냉동
오렌지농축액,,1.8kg,,N,상온
99라이트바,,390g,,N,상온
우유쿠키,,66g,,N,상온
